Sample_1,Sample_2,Euclidean_Similarity
SAM_004,SAM_085,0.467558562
SAM_004,SAM_086,0.731080573
SAM_004,SAM_087,0.363641509
SAM_004,SAM_088,0.690331464
SAM_004,SAM_089,0.742317003
SAM_004,SAM_090,0.734210018
SAM_004,SAM_091,0.66276625
SAM_004,SAM_092,0.610108871
SAM_004,SAM_093,0.573735359
SAM_004,SAM_094,0.761505501
SAM_004,SAM_095,0.72697629
SAM_004,SAM_096,0.763126028
SAM_004,SAM_097,0.634522366
SAM_004,SAM_098,0.613698245
SAM_004,SAM_099,0.702675287
SAM_004,SAM_100,0.580271014
SAM_005,SAM_006,0.846227887
SAM_005,SAM_007,0.67007474
SAM_005,SAM_008,0.697909997
SAM_005,SAM_009,0.406006624
SAM_005,SAM_010,0.637545364
SAM_005,SAM_011,0.300232879
SAM_005,SAM_012,0.692120069
SAM_005,SAM_013,0.645708367
SAM_005,SAM_014,0.724746694
SAM_005,SAM_015,0.582338628
SAM_005,SAM_016,0.558507766
SAM_005,SAM_017,0.67832765
SAM_005,SAM_018,0.665560179
SAM_005,SAM_019,0.68553605
SAM_005,SAM_020,0.302974074
SAM_005,SAM_021,0.56155932
SAM_005,SAM_022,0.581461605
SAM_005,SAM_023,0.4823354
SAM_005,SAM_024,0.738269486
SAM_005,SAM_025,0.624476303
SAM_005,SAM_026,0.265676051
SAM_005,SAM_027,0.75172159
SAM_005,SAM_028,0.587237979
SAM_005,SAM_029,0.493522673
SAM_005,SAM_030,0.608480908
SAM_005,SAM_031,0.582909728
SAM_005,SAM_032,0.74594106
SAM_005,SAM_033,0.715909346
SAM_005,SAM_034,0.495780819
SAM_005,SAM_035,0.611374928
SAM_005,SAM_036,0.471676795
SAM_005,SAM_037,0.628179784
SAM_005,SAM_038,0.638398177
SAM_005,SAM_039,0.681784578
SAM_005,SAM_040,0.687385788
SAM_005,SAM_041,0.673831628
SAM_005,SAM_042,0.300154992
SAM_005,SAM_043,0.69474159
SAM_005,SAM_044,0.500396621
SAM_005,SAM_045,0.734740304
SAM_005,SAM_046,0.583580236
SAM_005,SAM_047,0.652571873
SAM_005,SAM_048,0.591824473
SAM_005,SAM_049,0.62858208
SAM_005,SAM_050,0.698652367
SAM_005,SAM_051,0.619258601
SAM_005,SAM_052,0.652929484
SAM_005,SAM_053,0.266061004
SAM_005,SAM_054,0.732030131
SAM_005,SAM_055,0.585585972
SAM_005,SAM_056,0.637627774
SAM_005,SAM_057,0.653326049
SAM_005,SAM_058,0.739653804
SAM_005,SAM_059,0.728413807
SAM_005,SAM_060,0.654945536
SAM_005,SAM_061,0.647008185
SAM_005,SAM_062,0.675308349
SAM_005,SAM_063,0.649010967
SAM_005,SAM_064,0.564766897
SAM_005,SAM_065,0.532468485
SAM_005,SAM_066,0.304181828
SAM_005,SAM_067,0.481198913
SAM_005,SAM_068,0.691523943
SAM_005,SAM_069,0.598962935
SAM_005,SAM_070,0.487762152
SAM_005,SAM_071,0.683354511
SAM_005,SAM_072,0.476431034
SAM_005,SAM_073,0.781909833
SAM_005,SAM_074,0.528376273
SAM_005,SAM_075,0.67346818
SAM_005,SAM_076,0.575200956
SAM_005,SAM_077,0.689713572
SAM_005,SAM_078,0.614055525
SAM_005,SAM_079,0.683281305
SAM_005,SAM_080,0.386075981
SAM_005,SAM_081,0.628089599
SAM_005,SAM_082,0.635346322
SAM_005,SAM_083,0.562139521
SAM_005,SAM_084,0.249956232
SAM_005,SAM_085,0.642454672
SAM_005,SAM_086,0.662590903
SAM_005,SAM_087,0.315523903
SAM_005,SAM_088,0.713159479
SAM_005,SAM_089,0.891600734
SAM_005,SAM_090,0.590959621
SAM_005,SAM_091,0.616190646
SAM_005,SAM_092,0.735549417
SAM_005,SAM_093,0.514570956
SAM_005,SAM_094,0.586965742
SAM_005,SAM_095,0.661633979
SAM_005,SAM_096,0.650514663
SAM_005,SAM_097,0.592332049
SAM_005,SAM_098,0.627919553
SAM_005,SAM_099,0.592854408
SAM_005,SAM_100,0.774663519
SAM_006,SAM_007,0.64415376
SAM_006,SAM_008,0.778406578
SAM_006,SAM_009,0.555979053
SAM_006,SAM_010,0.661717128
SAM_006,SAM_011,0.484829005
SAM_006,SAM_012,0.810626673
SAM_006,SAM_013,0.662245782
SAM_006,SAM_014,0.683108843
SAM_006,SAM_015,0.629437532
SAM_006,SAM_016,0.593765261
SAM_006,SAM_017,0.663611001
SAM_006,SAM_018,0.628729143
SAM_006,SAM_019,0.609694608
SAM_006,SAM_020,0.280046611
SAM_006,SAM_021,0.684307238
SAM_006,SAM_022,0.636658853
SAM_006,SAM_023,0.748374298
SAM_006,SAM_024,0.668413941
SAM_006,SAM_025,0.590499226
SAM_006,SAM_026,0.24031272
SAM_006,SAM_027,0.79822769
SAM_006,SAM_028,0.549116618
SAM_006,SAM_029,0.474258568
SAM_006,SAM_030,0.712798091
SAM_006,SAM_031,0.469205799
SAM_006,SAM_032,0.617419843
SAM_006,SAM_033,0.820425416
SAM_006,SAM_034,0.62296662
SAM_006,SAM_035,0.642456085
SAM_006,SAM_036,0.502328474
SAM_006,SAM_037,0.585445319
SAM_006,SAM_038,0.759440768
SAM_006,SAM_039,0.721956755
SAM_006,SAM_040,0.756500391
SAM_006,SAM_041,0.701674788
SAM_006,SAM_042,0.291325727
SAM_006,SAM_043,0.752391689
SAM_006,SAM_044,0.530099056
SAM_006,SAM_045,0.707821159
SAM_006,SAM_046,0.680343926
SAM_006,SAM_047,0.598190296
SAM_006,SAM_048,0.568532281
