Sample_1,Sample_2,Euclidean_Distance,Euclidean_Similarity
SAM_027,SAM_041,0.3495078873215881,0.7410108598807319
SAM_059,SAM_089,0.3497514783385482,0.7408771289000043
SAM_028,SAM_086,0.349885151585488,0.7408037630649278
SAM_004,SAM_014,0.3499814830816053,0.7407509010548042
SAM_049,SAM_071,0.3501039964067819,0.7406836826358845
SAM_012,SAM_071,0.3501775906593681,0.7406433101231101
SAM_001,SAM_039,0.3508915564672367,0.7402518693766469
SAM_005,SAM_073,0.350939582264526,0.740225553480149
SAM_027,SAM_075,0.3510879258818224,0.7401442799122967
SAM_035,SAM_051,0.3511659245997538,0.7401015536239361
SAM_027,SAM_028,0.3511727132053399,0.7400978351818065
SAM_016,SAM_027,0.351344270623558,0.7400038774268564
SAM_017,SAM_075,0.3516478559582014,0.7398376696947345
SAM_014,SAM_062,0.3516636744106504,0.7398290114114504
SAM_004,SAM_050,0.3521794180527874,0.7395468283639866
SAM_033,SAM_038,0.3525042113223613,0.7393692319983882
SAM_041,SAM_059,0.3535936608594673,0.7387741453849953
SAM_006,SAM_008,0.3538677857618577,0.7386245618048096
SAM_001,SAM_012,0.3539568993535795,0.7385759476372037
SAM_014,SAM_050,0.3541014176757839,0.7384971221110062
SAM_007,SAM_039,0.355118732398053,0.7379427175583163
SAM_001,SAM_058,0.3552657916264947,0.7378626437548241
SAM_096,SAM_097,0.3555288896840874,0.7377194301134038
SAM_014,SAM_064,0.3559205308773294,0.7375063488071562
SAM_001,SAM_095,0.3565751540699379,0.7371504608497681
SAM_014,SAM_071,0.3569159385625696,0.7369653281981022
SAM_056,SAM_081,0.3569608194186023,0.7369409534082612
SAM_005,SAM_100,0.3569964302342532,0.7369216143239034
SAM_052,SAM_088,0.3570649642572063,0.7368843985647755
SAM_043,SAM_073,0.3576040859665896,0.7365917724739448
SAM_002,SAM_059,0.3579769739801709,0.7363895111336415
SAM_056,SAM_093,0.3581364505324751,0.7363030420160926
SAM_001,SAM_054,0.3584222781859409,0.7361481153970886
SAM_094,SAM_098,0.3585206450122503,0.7360948128918443
SAM_007,SAM_073,0.3585424990151097,0.7360829718061533
SAM_018,SAM_043,0.3586903451446665,0.7360028748077436
SAM_052,SAM_079,0.3587756719734492,0.7359566561473881
SAM_027,SAM_039,0.3588650417636134,0.7359082537748872
SAM_018,SAM_071,0.3588696567000337,0.7359057545139863
SAM_049,SAM_086,0.3589235254201095,0.7358765826729294
SAM_007,SAM_070,0.3589595978658322,0.735857049444621
SAM_001,SAM_007,0.3591529358086886,0.7357523746251597
SAM_038,SAM_041,0.3591990289519168,0.7357274237983408
SAM_028,SAM_078,0.3592013834884269,0.7357261493020799
SAM_049,SAM_059,0.3592363959845939,0.7357071977723398
SAM_027,SAM_096,0.3595710064785535,0.735526129370849
SAM_014,SAM_099,0.3596506449319951,0.7354830475956685
SAM_028,SAM_075,0.3596720867679336,0.7354714491323365
SAM_024,SAM_091,0.359761484041858,0.735423095694345
SAM_033,SAM_073,0.3599167495407792,0.7353391303825643
SAM_001,SAM_061,0.3600682146482802,0.7352572387397529
SAM_027,SAM_068,0.3603824404712304,0.7350874064896078
SAM_033,SAM_082,0.3604753063664694,0.7350372295038418
SAM_055,SAM_086,0.3610807052446861,0.7347102902470627
SAM_074,SAM_081,0.361310543023588,0.7345862449422553
SAM_033,SAM_088,0.3619693775721919,0.7342308986289925
SAM_068,SAM_073,0.3621631263671109,0.7341264644763951
SAM_001,SAM_045,0.3622626424294948,0.7340728350419813
SAM_014,SAM_057,0.362495651835991,0.7339472963840137
SAM_081,SAM_092,0.3632770789631517,0.7335265995673864
SAM_027,SAM_054,0.3633533967090441,0.7334855382425925
SAM_041,SAM_071,0.3638524540249797,0.733217143136573
SAM_014,SAM_088,0.363922389253533,0.7331795473694763
SAM_043,SAM_052,0.3640657029987857,0.7331025168374095
SAM_013,SAM_088,0.3663169263083539,0.7318946144522237
SAM_086,SAM_096,0.366437603829083,0.7318299768666804
SAM_004,SAM_096,0.3666400668230355,0.7317215587895455
SAM_033,SAM_058,0.3666481026815766,0.7317172562840749
SAM_021,SAM_027,0.3669709840028228,0.7315444231828223
SAM_052,SAM_097,0.3674347275367422,0.7312963316365172
SAM_047,SAM_071,0.3677953051630757,0.7311035476034001
SAM_004,SAM_094,0.3679945880036824,0.7309970439717179
SAM_010,SAM_082,0.3684540773285051,0.7307515952250287
SAM_016,SAM_021,0.3685596076620443,0.7306952465945806
SAM_008,SAM_021,0.3686622063624097,0.7306404716601116
SAM_059,SAM_098,0.3687103468849226,0.730614773444156
SAM_054,SAM_086,0.3687156160240572,0.7306119607993306
SAM_022,SAM_059,0.3689084379625925,0.7305090481349832
SAM_018,SAM_050,0.3690573566534069,0.7304295872924204
SAM_027,SAM_093,0.3694714723764204,0.7302087120257548
SAM_012,SAM_079,0.369500330040448,0.7301933253060736
SAM_033,SAM_059,0.3695332058151202,0.7301757969459521
SAM_006,SAM_038,0.3697203994912912,0.7300760070240584
SAM_073,SAM_095,0.369940097313065,0.7299589244532314
SAM_017,SAM_095,0.3700118335945486,0.7299207024922293
SAM_001,SAM_088,0.3701074608812959,0.7298697573376972
SAM_060,SAM_070,0.3701085392151875,0.7298691828990501
SAM_017,SAM_081,0.3702162940768544,0.7298117854259808
SAM_041,SAM_051,0.3702586803844037,0.7297892101070043
SAM_082,SAM_086,0.3704560959142122,0.7296840832634729
SAM_041,SAM_058,0.3708470388178932,0.7294759894308256
SAM_086,SAM_092,0.3711303571523083,0.72932525691933
SAM_004,SAM_079,0.3711972736968848,0.7292896647204528
SAM_030,SAM_043,0.3712480013414213,0.72926268554029
SAM_007,SAM_076,0.3718945895008422,0.7289189764673142
SAM_007,SAM_060,0.372036391096355,0.7288436418227425
SAM_006,SAM_049,0.3720732320390705,0.7288240719585181
SAM_006,SAM_040,0.3721781197222641,0.7287683615028093
SAM_043,SAM_086,0.37232871927908,0.7286883863549296
SAM_037,SAM_056,0.3723529520495305,0.7286755193017637
SAM_059,SAM_073,0.3724250560851135,0.728637236376704
SAM_039,SAM_041,0.3725050121810443,0.7285947891810628
SAM_024,SAM_027,0.3730062075890963,0.7283288265359926
SAM_012,SAM_017,0.3731782594149878,0.7282375708642721
SAM_018,SAM_089,0.3732539146479243,0.7281974508380561
SAM_055,SAM_057,0.3733034638199864,0.7281711772708969
SAM_038,SAM_039,0.3734327852505722,0.7281026132032793
SAM_051,SAM_054,0.3736565677196107,0.7279839979654354
SAM_049,SAM_088,0.3737400359875832,0.7279397657513118
SAM_041,SAM_045,0.3737719136050755,0.7279228743116338
SAM_007,SAM_095,0.3739161165288279,0.7278464732814114
SAM_056,SAM_086,0.3739536737351299,0.7278265775013165
SAM_071,SAM_074,0.3739981748618567,0.7278030046150105
SAM_043,SAM_050,0.3742611580166983,0.7276637298278711
SAM_006,SAM_088,0.3743963249018345,0.7275921667437698
SAM_001,SAM_099,0.3744216361269739,0.7275787674719175
SAM_008,SAM_092,0.374430441737848,0.7275741060679556
SAM_038,SAM_045,0.3750483080884381,0.7272471767847764
SAM_017,SAM_051,0.3752674787401647,0.7271312784303354
SAM_043,SAM_048,0.3753147889438943,0.7271062654448012
SAM_050,SAM_079,0.3754387016544778,0.7270407607384664
SAM_008,SAM_079,0.3755636310933208,0.7269747305002411
SAM_006,SAM_043,0.3756123878415087,0.7269489638495572
SAM_088,SAM_099,0.3757485212213084,0.7268770306307571
SAM_008,SAM_016,0.3758070180292007,0.7268461251436759
SAM_045,SAM_058,0.3760627362555349,0.7267110529576175
SAM_005,SAM_027,0.3761724916843336,0.7266530947556391
SAM_002,SAM_076,0.3763542437650995,0.7265571378371604
SAM_001,SAM_056,0.3764363336608197,0.7265138063744394
SAM_001,SAM_089,0.376660498725311,0.7263955063183176
SAM_049,SAM_096,0.376802626583202,0.7263205202344002
SAM_038,SAM_088,0.3772017315707869,0.7261100368058904
SAM_037,SAM_082,0.3774957422276442,0.725955056951995
SAM_071,SAM_097,0.3774974954883807,0.7259541329659246
SAM_001,SAM_081,0.377530113368457,0.7259369434434451
SAM_027,SAM_056,0.3778500616646767,0.7257683748199933
SAM_001,SAM_060,0.3779933623755846,0.7256929004912296
SAM_032,SAM_045,0.3783318027869188,0.7255147113184571
SAM_032,SAM_063,0.3783595446133214,0.7255001091029085
SAM_039,SAM_051,0.3785951952943935,0.7253760954726481
SAM_013,SAM_054,0.3787135484769459,0.725313826867584
SAM_061,SAM_086,0.3787963508271957,0.7252702688109521
SAM_006,SAM_023,0.3789703328758071,0.725178762848745
SAM_043,SAM_089,0.379083643672475,0.7251191793827806
SAM_050,SAM_094,0.3790878184537192,0.7251169842985303
SAM_027,SAM_045,0.3792247266463515,0.7250450058501677
SAM_049,SAM_069,0.3792538995185152,0.7250296702797729
SAM_071,SAM_092,0.3793244249979165,0.7249925991860187
SAM_079,SAM_089,0.3793455364176571,0.7249815028924024
SAM_012,SAM_051,0.3794009550594199,0.7249523761254199
SAM_007,SAM_051,0.3794653472980109,0.724918535981148
SAM_049,SAM_092,0.3797580436277815,0.7247647546744587
SAM_017,SAM_097,0.3799697911676663,0.7246535441575475
SAM_086,SAM_093,0.3801053294811847,0.7245823768943233
SAM_017,SAM_073,0.3801146498097646,0.7245774835719919
SAM_014,SAM_058,0.3801296637990779,0.7245696011252332
SAM_054,SAM_061,0.3805216420914847,0.7243638705185411
SAM_007,SAM_044,0.3806412820491229,0.7243011005116535
SAM_013,SAM_071,0.3807055165084951,0.7242674039057823
SAM_045,SAM_054,0.3808435156333898,0.724195021867704
SAM_058,SAM_095,0.3809813601739591,0.7241227353525121
SAM_041,SAM_096,0.3809960650715437,0.7241150248666306
SAM_005,SAM_032,0.3810041603447396,0.7241107801951664
SAM_033,SAM_045,0.3810796507293456,0.724071200000595
SAM_006,SAM_090,0.38110318274714,0.7240588628656325
SAM_027,SAM_038,0.3813681298955119,0.7239199879873015
SAM_033,SAM_097,0.381584326198024,0.7238067058504462
SAM_043,SAM_088,0.3817917256829959,0.7236980663679378
SAM_025,SAM_052,0.381798696042823,0.7236944157378256
SAM_043,SAM_095,0.3821106136971335,0.7235310908473591
SAM_045,SAM_082,0.3821860365057834,0.7234916093697751
SAM_001,SAM_033,0.3824972626045839,0.7233287378204494
SAM_039,SAM_061,0.3825191312862664,0.7233172962095803
SAM_012,SAM_045,0.3825955706748315,0.7232773062566008
SAM_041,SAM_090,0.3831142859513333,0.7230060524696124
SAM_071,SAM_093,0.3831807987099562,0.722971285411614
SAM_089,SAM_098,0.3832160089296896,0.7229528819390862
SAM_057,SAM_086,0.3834296686486323,0.722841227611393
SAM_012,SAM_073,0.3835423797965487,0.7227823408973211
SAM_004,SAM_089,0.3840333357926106,0.7225259494398798
SAM_017,SAM_079,0.3841979151427035,0.7224400420346719
SAM_033,SAM_052,0.3844617520638431,0.722302366612354
SAM_060,SAM_086,0.3844737759587772,0.7222960935518472
SAM_082,SAM_088,0.3848277159976916,0.7221114861060933
SAM_027,SAM_051,0.3849646057756479,0.7220401126712918
SAM_041,SAM_061,0.3851531283788306,0.7219418413113574
SAM_051,SAM_096,0.3852045765564059,0.721915027515995
SAM_038,SAM_081,0.3854256198023167,0.7217998467089758
SAM_050,SAM_088,0.3856601693200894,0.7216776682631184
SAM_090,SAM_094,0.3857569681807446,0.7216272571321248
SAM_043,SAM_097,0.386130283583145,0.7214329070244402
SAM_038,SAM_049,0.3862248117353415,0.7213837117430851
SAM_005,SAM_058,0.3862593765852165,0.7213657248352092
SAM_088,SAM_094,0.3862961554300016,0.7213465867903384
