Sample_1,Sample_2,Jaccard,Euclidean,Cosine,Joint_Similarity,Common_Substance
SAM_016,SAM_049,0.625,0.806609104,0.737077296,0.723037285,Caffeine
SAM_016,SAM_049,0.625,0.806609104,0.737077296,0.723037285,Phenacetin
SAM_045,SAM_062,0.384615385,0.936815617,0.823939646,0.71621171,Tetramisole or levamisole
SAM_045,SAM_062,0.384615385,0.936815617,0.823939646,0.71621171,Triacetin
SAM_045,SAM_062,0.384615385,0.936815617,0.823939646,0.71621171,Heroin
SAM_045,SAM_062,0.384615385,0.936815617,0.823939646,0.71621171,Caffeine
SAM_045,SAM_062,0.384615385,0.936815617,0.823939646,0.71621171,Phenacetin
SAM_008,SAM_012,0.5,0.888171435,0.755961155,0.715123366,Cocaine
SAM_008,SAM_012,0.5,0.888171435,0.755961155,0.715123366,Noscapine
SAM_008,SAM_012,0.5,0.888171435,0.755961155,0.715123366,Meconine
SAM_008,SAM_012,0.5,0.888171435,0.755961155,0.715123366,Acetylcodeine
SAM_008,SAM_012,0.5,0.888171435,0.755961155,0.715123366,Caffeine
SAM_008,SAM_012,0.5,0.888171435,0.755961155,0.715123366,Phenacetin
SAM_005,SAM_089,0.533333333,0.891600734,0.716719369,0.713912828,Ecgonidine methyl ester
SAM_005,SAM_089,0.533333333,0.891600734,0.716719369,0.713912828,Hydrocotarnine
SAM_005,SAM_089,0.533333333,0.891600734,0.716719369,0.713912828,Meconine
SAM_005,SAM_089,0.533333333,0.891600734,0.716719369,0.713912828,Morphine
SAM_005,SAM_089,0.533333333,0.891600734,0.716719369,0.713912828,Ecgonine methyl ester
SAM_005,SAM_089,0.533333333,0.891600734,0.716719369,0.713912828,Papaverine
SAM_005,SAM_089,0.533333333,0.891600734,0.716719369,0.713912828,6-Monoacetylmorphine
SAM_005,SAM_089,0.533333333,0.891600734,0.716719369,0.713912828,Phenacetin
SAM_051,SAM_069,0.625,0.795102682,0.711864196,0.710667712,Ecgonidine methyl ester
SAM_051,SAM_069,0.625,0.795102682,0.711864196,0.710667712,Meconine
SAM_051,SAM_069,0.625,0.795102682,0.711864196,0.710667712,Acetaminophen
SAM_051,SAM_069,0.625,0.795102682,0.711864196,0.710667712,Heroin
SAM_051,SAM_069,0.625,0.795102682,0.711864196,0.710667712,Phenacetin
SAM_024,SAM_056,0.5,0.85633698,0.768646821,0.708931123,Ecgonine methyl ester
SAM_024,SAM_056,0.5,0.85633698,0.768646821,0.708931123,Caffeine
SAM_024,SAM_056,0.5,0.85633698,0.768646821,0.708931123,Acetylthebaol
SAM_024,SAM_056,0.5,0.85633698,0.768646821,0.708931123,Papaverine
SAM_052,SAM_096,0.454545455,0.887373706,0.781964081,0.708701111,Cocaine
SAM_052,SAM_096,0.454545455,0.887373706,0.781964081,0.708701111,Noscapine
SAM_052,SAM_096,0.454545455,0.887373706,0.781964081,0.708701111,Meconine
SAM_052,SAM_096,0.454545455,0.887373706,0.781964081,0.708701111,Acetylcodeine
SAM_052,SAM_096,0.454545455,0.887373706,0.781964081,0.708701111,Heroin
SAM_027,SAM_073,0.615384615,0.855230501,0.648449464,0.705775806,Cocaine
SAM_027,SAM_073,0.615384615,0.855230501,0.648449464,0.705775806,Hydrocotarnine
SAM_027,SAM_073,0.615384615,0.855230501,0.648449464,0.705775806,Meconine
SAM_027,SAM_073,0.615384615,0.855230501,0.648449464,0.705775806,Acetylcodeine
SAM_027,SAM_073,0.615384615,0.855230501,0.648449464,0.705775806,Acetaminophen
SAM_027,SAM_073,0.615384615,0.855230501,0.648449464,0.705775806,Phenetidine
SAM_027,SAM_073,0.615384615,0.855230501,0.648449464,0.705775806,Caffeine
SAM_027,SAM_073,0.615384615,0.855230501,0.648449464,0.705775806,Phenacetin
SAM_017,SAM_096,0.636363636,0.821659613,0.655753748,0.704103947,Cocaine
SAM_017,SAM_096,0.636363636,0.821659613,0.655753748,0.704103947,Noscapine
SAM_017,SAM_096,0.636363636,0.821659613,0.655753748,0.704103947,Meconine
SAM_017,SAM_096,0.636363636,0.821659613,0.655753748,0.704103947,Acetylcodeine
SAM_017,SAM_096,0.636363636,0.821659613,0.655753748,0.704103947,Acetaminophen
SAM_017,SAM_096,0.636363636,0.821659613,0.655753748,0.704103947,Heroin
SAM_017,SAM_096,0.636363636,0.821659613,0.655753748,0.704103947,Caffeine
SAM_074,SAM_097,0.5,0.836902045,0.772831318,0.703940323,Caffeine
SAM_074,SAM_097,0.5,0.836902045,0.772831318,0.703940323,Heroin
SAM_074,SAM_097,0.5,0.836902045,0.772831318,0.703940323,Cocaine
